Category,Subcategory,Algorithm,Year Introduced,Original Paper / Author,Complexity (Low/Med/High),Best Use Case,Implementation Done (Y/N),Lab Created (Y/N),Notes,Blog URL
Supervised Learning,Regression,Linear Regression,1805,Gauss – Method of Least Squares,Low,Tabular prediction,,,,
Supervised Learning,Regression,Ridge Regression,1970,Hoerl & Kennard,Low,Regularized tabular regression,,,,
Supervised Learning,Regression,Lasso Regression,1996,Tibshirani,Low,Sparse linear models,,,,
Supervised Learning,Regression,Elastic Net,2005,Zou & Hastie,Low,Mixed regularization,,,,
Supervised Learning,Regression,Polynomial Regression,1900,Classical statistical modeling,Low,Nonlinear regression via features,,,,
Supervised Learning,Regression,Bayesian Linear Regression,1950,Bayesian statistics,Medium,Uncertainty-aware regression,,,,
Supervised Learning,Regression,Quantile Regression,1978,Koenker & Bassett,Medium,Predicting conditional quantiles,,,,
Supervised Learning,Regression,Poisson Regression,1970,Generalized Linear Models,Medium,Count data,,,,
Supervised Learning,Regression,Gamma Regression,1970,Generalized Linear Models,Medium,Positive skewed targets,,,,
Supervised Learning,Regression,Tweedie Regression,1984,Exponential Dispersion Models,Medium,Insurance / positive mass at zero,,,,
Supervised Learning,Regression,Huber Regression,1964,Huber,Low,Robust regression with outliers,,,,
Supervised Learning,Regression,RANSAC Regression,1981,Fischler & Bolles,Medium,Robust fitting with many outliers,,,,
Supervised Learning,Regression,Passive Aggressive Regressor,2006,Crammer et al.,Medium,Online learning,,,,
Supervised Learning,Regression,Partial Least Squares Regression,1966,Wold,Medium,High-dimensional correlated features,,,,
Supervised Learning,Regression,Support Vector Regression,1996,Vapnik,Medium,High-dimensional nonlinear regression,,,,
Supervised Learning,Regression,Decision Tree Regression,1984,Breiman – CART,Low,Interpretable nonlinear regression,,,,
Supervised Learning,Regression,Random Forest Regression,2001,Breiman,Medium,Robust tabular prediction,,,,
Supervised Learning,Regression,Extra Trees Regression,2006,Geurts et al.,Medium,Fast ensemble trees,,,,
Supervised Learning,Regression,AdaBoost Regression,1997,Freund & Schapire variants,Medium,Boosted weak regressors,,,,
Supervised Learning,Regression,Gradient Boosting Regression,1999,Friedman,High,Structured/tabular data,,,,
Supervised Learning,Regression,XGBoost,2016,Chen & Guestrin,High,Large tabular datasets,,,,
Supervised Learning,Regression,LightGBM,2017,Microsoft,High,Fast large-scale boosting,,,,
Supervised Learning,Regression,CatBoost,2018,Yandex,High,Categorical tabular data,,,,
Supervised Learning,Regression,Gaussian Process Regression,1996,Williams & Rasmussen,High,Small data with uncertainty,,,,
Supervised Learning,Regression,Kernel Ridge Regression,2001,Saunders et al.,Medium,Nonlinear regularized regression,,,,
Supervised Learning,Regression,MARS (Multivariate Adaptive Regression Splines),1991,Friedman,Medium,Flexible tabular regression,,,,
Supervised Learning,Regression,Theil–Sen Regressor,1950,Theil / Sen,Medium,Robust linear trend estimation,,,,
Supervised Learning,Regression,Isotonic Regression,1959,Ayer et al.,Low,Monotonic fitting / calibration,,,,
Supervised Learning,Classification,Logistic Regression,1958,Cox,Low,Binary classification,,,,
Supervised Learning,Classification,Multinomial Logistic Regression,1969,Softmax regression,Low,Multiclass classification,,,,
Supervised Learning,Classification,k-Nearest Neighbors,1967,Cover & Hart,Low,Small datasets,,,,
